"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.429110061E1,6.504298437E1,2.557774096E1,2.589489306E1,1.440000057E0,2.961000061E2,3.790092468E0,2.500000000E0
4.529141321E1,6.504299128E1,2.557771650E1,2.595702707E1,1.419999957E0,2.971000061E2,3.790092468E0,2.500000000E0
4.629059852E1,6.504299821E1,2.557769222E1,2.590661224E1,1.399999976E0,2.986000061E2,3.790092468E0,2.500000000E0
4.729092576E1,6.504300517E1,2.557766677E1,2.579674926E1,1.419999957E0,2.967999878E2,3.790092468E0,2.500000000E0
4.829111076E1,6.504301139E1,2.557764434E1,2.550915185E1,1.370000005E0,2.992999878E2,3.790092468E0,2.500000000E0
4.929150066E1,6.504301755E1,2.557761939E1,2.571447461E1,1.460000038E0,2.995000000E2,3.790092468E0,2.500000000E0
5.029075576E1,6.504302451E1,2.557759397E1,2.547228741E1,1.480000019E0,3.000000000E2,3.790092468E0,2.500000000E0
5.129109508E1,6.504303111E1,2.557756644E1,2.556463420E1,1.429999948E0,3.005000000E2,3.790092468E0,2.500000000E0
5.229054904E1,6.504303631E1,2.557754017E1,2.550329476E1,1.419999957E0,2.972000122E2,3.790092468E0,2.500000000E0
5.329093545E1,6.504304180E1,2.557751291E1,2.550604224E1,1.399999976E0,3.002000122E2,3.790092468E0,2.500000000E0
5.429096352E1,6.504304700E1,2.557748770E1,2.525494440E1,1.429999948E0,2.971000061E2,3.790092468E0,2.500000000E0
5.529142670E1,6.504305121E1,2.557745989E1,2.547015569E1,1.450000048E0,2.946000061E2,3.790092468E0,2.500000000E0
5.629136529E1,6.504305560E1,2.557743192E1,2.577289135E1,1.429999948E0,2.942000122E2,3.790092468E0,2.500000000E0
5.729071878E1,6.504306025E1,2.557740360E1,2.587213576E1,1.460000038E0,2.937000122E2,3.790092468E0,2.500000000E0
5.829069414E1,6.504306527E1,2.557737487E1,2.621637521E1,1.419999957E0,2.966000061E2,3.790092468E0,2.500000000E0
5.929092732E1,6.504307053E1,2.557734814E1,2.573175698E1,1.440000057E0,2.966000061E2,3.790092468E0,2.500000000E0
6.029104440E1,6.504307546E1,2.557731975E1,2.571491245E1,1.519999981E0,2.902999878E2,3.790092468E0,2.500000000E0
6.129144508E1,6.504308147E1,2.557729162E1,2.565741815E1,1.470000029E0,3.012000122E2,3.790092468E0,2.500000000E0
6.229054138E1,6.504308789E1,2.557726589E1,2.562494794E1,1.470000029E0,2.993999939E2,3.790092468E0,2.500000000E0
6.329110482E1,6.504309483E1,2.557724089E1,2.589014595E1,1.460000038E0,3.032999878E2,3.790092468E0,2.500000000E0
6.429134383E1,6.504310089E1,2.557721501E1,2.580188972E1,1.429999948E0,2.970000000E2,3.790092468E0,2.500000000E0
6.529068404E1,6.504310613E1,2.557718966E1,2.571509852E1,1.350000024E0,3.005000000E2,9.935046196E0,2.500000000E0
6.629068550E1,6.504311222E1,2.557716331E1,2.572938139E1,1.470000029E0,2.987999878E2,9.935046196E0,2.500000000E0
6.729115414E1,6.504311872E1,2.557713541E1,2.560090304E1,1.480000019E0,3.012999878E2,9.935046196E0,2.500000000E0
6.829127732E1,6.504312549E1,2.557710813E1,2.589887720E1,1.470000029E0,3.027999878E2,9.935046196E0,2.500000000E0
6.929068737E1,6.504313123E1,2.557708073E1,2.579572862E1,1.470000029E0,2.988999939E2,9.935046196E0,2.500000000E0
7.029093055E1,6.504313712E1,2.557705214E1,2.587672317E1,1.460000038E0,2.982000122E2,9.935046196E0,2.500000000E0
7.129082055E1,6.504314329E1,2.557702399E1,2.582344026E1,1.470000029E0,2.978999939E2,9.935046196E0,2.500000000E0
7.229079549E1,6.504314936E1,2.557699647E1,2.586915634E1,1.450000048E0,2.972000122E2,9.935046196E0,2.500000000E0
7.329134211E1,6.504315636E1,2.557696951E1,2.568898098E1,1.460000038E0,2.988999939E2,9.935046196E0,2.500000000E0
7.429059065E1,6.504316305E1,2.557694293E1,2.552717726E1,1.429999948E0,2.980000000E2,9.935046196E0,2.500000000E0
7.529083971E1,6.504316926E1,2.557691698E1,2.559547616E1,1.450000048E0,2.965000000E2,9.935046196E0,2.500000000E0
7.629115784E1,6.504317519E1,2.557688934E1,2.558705411E1,1.460000038E0,2.962999878E2,9.935046196E0,2.500000000E0
7.729111216E1,6.504318208E1,2.557686022E1,2.572645906E1,1.450000048E0,2.956000061E2,9.935046196E0,2.500000000E0
7.829129153E1,6.504318911E1,2.557683344E1,2.584749217E1,1.419999957E0,2.977999878E2,3.790092468E0,2.500000000E0
7.929143013E1,6.504319628E1,2.557680701E1,2.585347394E1,1.450000048E0,3.003999939E2,3.790092468E0,2.500000000E0
8.029109216E1,6.504320341E1,2.557678036E1,2.583797137E1,1.460000038E0,3.007999878E2,3.790092468E0,2.500000000E0
8.129083210E1,6.504321080E1,2.557675652E1,2.587019795E1,1.450000048E0,2.988999939E2,3.790092468E0,2.500000000E0
8.229061216E1,6.504321765E1,2.557673204E1,2.590462202E1,1.450000048E0,2.963999939E2,3.790092468E0,2.500000000E0
8.329073768E1,6.504322342E1,2.557670684E1,2.634785994E1,1.470000029E0,2.987999878E2,3.790092468E0,2.500000000E0
8.429064731E1,6.504322937E1,2.557668040E1,2.639461356E1,1.480000019E0,2.952999878E2,3.790092468E0,2.500000000E0
8.529092226E1,6.504323549E1,2.557665356E1,2.659078122E1,1.470000029E0,2.950000000E2,3.790092468E0,2.500000000E0
8.629113268E1,6.504324178E1,2.557662391E1,2.673079674E1,1.519999981E0,2.947000122E2,3.790092468E0,2.500000000E0
8.729055085E1,6.504324814E1,2.557659334E1,2.673622981E1,1.509999990E0,2.947000122E2,3.790092468E0,2.500000000E0
